CompanyName,,ProductDescription,,,Price
CVR LIFE SCIENCES PRIVATE LIMITED,,Elite Tea 200gm,,,₹ 250.00
CVR LIFE SCIENCES PRIVATE LIMITED,,Freeze Dried Coffee 200gm,,,₹ 600.00
CVR LIFE SCIENCES PRIVATE LIMITED,,Peach Tea 500gm,,,₹ 300.00
CVR LIFE SCIENCES PRIVATE LIMITED,,Cranberry Tea 500gm,,,₹ 300.00
CVR LIFE SCIENCES PRIVATE LIMITED,,Ginger Extract 200gm,,,₹ 200.00
CVR LIFE SCIENCES PRIVATE LIMITED,,Cardamom Extract 200gm,,,₹ 200.00
CVR LIFE SCIENCES PRIVATE LIMITED,,Masala Extract 200gm,,,₹ 200.00
CVR LIFE SCIENCES PRIVATE LIMITED,,Paper Cups (150 ml),,,₹ 0.80
CVR LIFE SCIENCES PRIVATE LIMITED,,Sugar Sachets,,,₹ 100.00
Dextara Digital Pvt Ltd,,Elite Tea 200gm,,,₹ 250.00
Dextara Digital Pvt Ltd,,Filter Coffee 200gm,,,₹ 571.00
Dextara Digital Pvt Ltd,,Sugar Sachets,,,₹ 47.62
Dextara Digital Pvt Ltd,,Wooden Stirrers,,,₹ 0.20
Dextara Digital Pvt Ltd,,Paper Cups (150 ml),,,₹ 0.80
CVR LIFE SCIENCES PRIVATE LIMITED,,Wooden Stirrers,,,₹ 0.20
Elemmentz Living Pvt Ltd,,Elite Tea 200gm,,,₹ 250.00
Elemmentz Living Pvt Ltd,,Hybrid Coffee,,,₹ 899.00
Elemmentz Living Pvt Ltd,,Ginger Extract 200gm,,,₹ 200.00
Elemmentz Living Pvt Ltd,,Cardamom Extract 200gm,,,₹ 200.00
Elemmentz Living Pvt Ltd,,Masala Extract 200gm,,,₹ 200.00
Elemmentz Living Pvt Ltd,,Paper Cups (150 ml),,,₹ 0.80
Elemmentz Living Pvt Ltd,,Wooden Stirrers,,,₹ 0.20
Dextara Digital Pvt Ltd,,Ginger Extract 200gm,,,₹ 200.00
Dextara Digital Pvt Ltd,,Cardamom Extract 200gm,,,₹ 200.00
Dextara Digital Pvt Ltd,,Masala Extract 200gm,,,₹ 200.00
CVR LIFE SCIENCES PRIVATE LIMITED,,Hot Chocolate 200gm,,,₹ 400.00
Enterprise Minds India Private Limited,,Elite Tea 200gm,,,₹ 230.00
Enterprise Minds India Private Limited,,Filter Coffee 200gm,,,₹ 290.00
Enterprise Minds India Private Limited,,Ginger Extract 200gm,,,₹ 180.00
Enterprise Minds India Private Limited,,Cardamom Extract 200gm,,,₹ 180.00
Enterprise Minds India Private Limited,,Masala Extract 200gm,,,₹ 180.00
Enterprise Minds India Private Limited,,Wooden Stirrers,,,₹ 0.23
Enterprise Minds India Private Limited,,Paper Cups (150 ml),,,₹ 0.80
Enterprise Minds India Private Limited,,Sugar Sachets,,,₹ 100.00
 Offshore HCL Global Systems(I) Pvt Ltd,,Conventional Tea 200gm,,,₹160.00
 Offshore HCL Global Systems(I) Pvt Ltd,,Freeze Dried Coffee 200gm,,,₹650.00
 Offshore HCL Global Systems(I) Pvt Ltd,,Lemon Tea 1kg,,,₹550.00
 Offshore HCL Global Systems(I) Pvt Ltd,,Paper Cups (125 ml),,,₹0.85
 Offshore HCL Global Systems(I) Pvt Ltd,,Wooden Stirrers,,,₹0.25
HEALTHONUS TECHNOLOGIES Pvt Ltd,,Elite Tea 200gm,,,₹235.00
HEALTHONUS TECHNOLOGIES Pvt Ltd,,Ginger Extract 200gm,,,₹165.00
HEALTHONUS TECHNOLOGIES Pvt Ltd,,Cardamom Extract 200gm,,,₹165.00
HEALTHONUS TECHNOLOGIES Pvt Ltd,,Masala Extract 200gm,,,₹165.00
HEALTHONUS TECHNOLOGIES Pvt Ltd,,Peach Tea 500gm,,,₹250.00
HEALTHONUS TECHNOLOGIES Pvt Ltd,,Hot Chocolate 200gm,,,₹330.00
HEALTHONUS TECHNOLOGIES Pvt Ltd,,Freeze Dried Coffee 200gm,,,₹500.00
HEALTHONUS TECHNOLOGIES Pvt Ltd,,Sugar Sachets,,,₹100.00
HEALTHONUS TECHNOLOGIES Pvt Ltd,,Paper Cups (150 ml),,,₹0.80
HEALTHONUS TECHNOLOGIES Pvt Ltd,,Wooden Stirrers,,,₹0.23
Insurance Information Bureau of India,,Elite Tea 200gm,,,₹285.00
